,Player,Nation,Team,Comp,Pos,90s,Age,Ast,G+A,G-PK,G/Sh,G/SoT,Gls/90,Int/90,MP,Min,PK,PKatt,PKm,Sh/90,SoT%,SoT/90,Starts,Subs,TklW/90,unSub,Gls,Int,Sh,SoT
3004,Thierry Small,England,2 Teams,2 Comps,MF,24.35,18.5,0.1,0.15000000000000002,0.1,0.05,0.13,0.1,0.35,29.0,2189.5,0.0,0.0,0.0,1.3,35.95,0.45,24.5,4.5,0.8500000000000001,9.0,0.1,0.4,1.3,0.4
3005,Óscar Sielva,Spain,Huesca,es Segunda División,MF,32.7,31.5,0.05,0.15000000000000002,0.05,0.05,0.19999999999999998,0.15000000000000002,1.2,35.5,2943.5,0.1,0.1,0.0,0.95,26.55,0.25,34.5,1.0,0.8500000000000001,0.5,0.2,1.2,1.0,0.3
3006,Marco Rente,Germany,Groningen,nl Eerste Divisie,DF,31.25,26.5,0.05,0.1,0.1,0.095,0.365,0.1,2.05,32.5,2813.5,0.0,0.0,0.0,0.8,25.75,0.2,32.5,0.0,1.6,0.0,0.1,1.9,0.5,0.2
3007,Jorgo Pellumbi,Albania,2 Teams,2 Comps,DFMF,14.299999999999999,23.5,0.05,0.1,0.1,0.41500000000000004,0.75,0.1,1.3,15.5,1289.5,0.0,0.0,0.0,0.2,66.65,0.15000000000000002,14.5,1.0,1.0499999999999998,1.5,0.1,1.6,0.2,0.2
3008,Valentin Gendrey,France,Lecce,it Serie A,DF,25.75,23.5,0.1,0.1,0.1,0.1,0.35,0.1,1.0,30.5,2319.0,0.0,0.0,0.0,0.6,32.6,0.2,25.5,5.0,0.8500000000000001,1.0,0.1,1.0,0.7,0.3
3009,Tom Bloxham,England,2 Teams,2 Comps,MFFW,27.7,20.5,0.15000000000000002,0.35,0.2,0.095,0.25,0.2,0.35,39.0,2494.0,0.0,0.0,0.0,1.5,38.3,0.6,29.0,10.0,0.6,1.0,0.3,0.4,2.1,0.9
3010,Lukas Van Eenoo,Belgium,2 Teams,2 Comps,MF,21.6,32.5,0.25,0.4,0.1,0.035,0.115,0.15000000000000002,0.75,25.5,1945.0,0.0,0.0,0.0,0.9,48.85,0.3,21.5,4.0,1.3,1.0,0.2,1.3,1.6,0.5
3011,Matthew Pennington,England,Blackpool,eng League One,DF,25.9,28.5,0.0,0.05,0.05,0.055,0.145,0.05,1.5,28.0,2330.5,0.0,0.0,0.0,0.5,24.65,0.15000000000000002,26.5,1.5,0.9500000000000001,10.5,0.0,1.4,0.4,0.1
3012,Srđan Babić,Serbia,2 Teams,2 Comps,DF,21.5,27.5,0.0,0.1,0.1,0.09,0.35,0.1,0.8,22.0,1931.5,0.0,0.0,0.0,0.8,27.4,0.25,21.5,0.5,1.05,2.0,0.1,1.0,0.7,0.2
3013,Christ Tiéhi,Ivory Coast,Rotherham United,eng Championship,MF,26.8,25.5,0.1,0.15000000000000002,0.05,0.05,0.165,0.05,0.85,31.5,2411.0,0.0,0.0,0.0,0.7,24.4,0.2,28.0,3.5,1.2,0.5,0.0,0.7,0.8,0.2
3014,Patrick Mainka,Germany,Heidenheim,de Bundesliga,DF,34.0,28.5,0.0,0.1,0.05,0.05500000000000001,0.19999999999999998,0.05,1.65,34.0,3060.0,0.0,0.0,0.0,0.8,30.05,0.25,34.0,0.0,1.15,0.0,0.0,1.9,0.7,0.3
3015,Alexis Francisco Peña,Mexico,Necaxa,mx Liga MX,DF,25.5,27.5,0.0,0.1,0.1,0.175,0.835,0.1,1.15,27.0,2293.5,0.0,0.0,0.0,0.35,21.55,0.1,26.0,1.0,0.75,0.5,0.1,1.1,0.3,0.1
3016,Lander Olaetxea,Spain,Albacete,es Segunda División,MFDF,34.05,30.5,0.05,0.1,0.1,0.11,0.4,0.1,1.4,36.5,3066.0,0.0,0.0,0.0,0.6,26.5,0.1,35.5,1.0,1.4,1.5,0.1,1.6,0.5,0.1
3017,Steve Cook,England,Queens Park Rangers,eng Championship,DF,31.6,32.5,0.0,0.1,0.1,0.1,0.235,0.1,0.9,33.5,2842.5,0.0,0.0,0.0,0.7,40.6,0.3,33.0,0.5,0.6,1.5,0.1,0.7,0.7,0.3
3018,Luke Chambers,England,2 Teams,2 Comps,DF,14.05,19.5,0.15000000000000002,0.2,0.1,0.29,0.6,0.1,0.7,15.0,1260.5,0.0,0.0,0.0,0.5,44.25,0.2,14.5,0.5,1.35,2.5,0.1,0.8,0.2,0.1
3019,Lucas,Brazil,Cádiz,es La Liga,DF,24.05,22.5,0.05,0.1,0.05,0.045,0.125,0.05,1.2000000000000002,31.0,2166.5,0.0,0.0,0.0,0.6,26.1,0.15000000000000002,23.5,7.5,1.5,10.5,0.0,1.6,0.6,0.1
3020,James Maxwell,Scotland,Doncaster Rovers,eng League Two,DFMF,17.3,21.5,0.15000000000000002,0.15000000000000002,0.05,0.025,0.07,0.05,1.7000000000000002,23.0,1558.0,0.0,0.0,0.0,0.8999999999999999,30.299999999999997,0.30000000000000004,19.5,3.5,2.1,4.0,0.0,1.8,0.6,0.2
3021,Tomislav Božić,Croatia,Slaven Belupo,hr Hrvatska NL,DF,24.15,35.5,0.0,0.1,0.1,0.12000000000000001,0.5,0.1,0.95,25.0,2176.5,0.0,0.0,0.0,0.7,23.799999999999997,0.15000000000000002,25.0,0.0,1.0,1.0,0.1,1.0,0.6,0.2
3022,Jonny Howson,England,Middlesbrough,eng Championship,MF,24.95,35.5,0.05,0.1,0.05,0.10500000000000001,0.21500000000000002,0.1,1.1,29.5,2244.0,0.0,0.05,0.0,0.55,45.0,0.25,25.0,4.5,1.05,3.5,0.1,1.3,0.4,0.2
3023,Milan van Ewijk,Netherlands,Coventry City,eng Championship,DFMF,39.5,22.5,0.05,0.15000000000000002,0.05,0.07500000000000001,0.27,0.05,1.35,43.5,3554.0,0.0,0.0,0.0,0.7,28.4,0.2,39.5,4.0,1.75,0.5,0.0,1.3,0.7,0.2
3024,Vincent Marchetti,France,2 Teams,fr Ligue 2,MF,19.95,26.5,0.15000000000000002,0.25,0.1,0.045,0.15,0.1,1.1,25.5,1797.5,0.0,0.0,0.0,1.65,33.25,0.55,20.5,5.0,1.0,0.0,0.1,1.4,1.4,0.4
3025,Mateo Kovačić,Croatia,Manchester City,eng Premier League,MF,20.799999999999997,29.5,0.05,0.2,0.15000000000000002,0.09,0.35,0.15000000000000002,0.75,30.5,1874.5,0.0,0.0,0.0,1.55,24.7,0.4,20.5,10.0,1.55,3.0,0.2,0.9,1.8,0.5
3026,Suresh Singh,India,Bengaluru,in Indian Super League,MF,17.35,22.5,0.1,0.1,0.1,0.06,0.625,0.1,0.8,20.0,1564.5,0.0,0.0,0.0,1.1,11.850000000000001,0.15000000000000002,19.0,1.0,1.05,0.5,0.1,0.7,0.7,0.1
3027,Juan María,Spain,CD Mirandés,es Segunda División,DFMF,17.15,22.5,0.1,0.15000000000000002,0.1,0.055,0.19,0.1,0.9500000000000001,29.0,1545.5,0.0,0.0,0.0,1.1,30.7,0.35,16.0,13.0,1.15,12.0,0.1,0.8,0.9,0.2
3028,Abdoulaye Kanté,France,Troyes,fr Ligue 2,MF,20.3,18.5,0.05,0.05,0.05,0.03,0.07,0.05,1.5499999999999998,23.5,1825.5,0.0,0.0,0.0,1.1,28.049999999999997,0.30000000000000004,21.0,2.5,1.7,4.0,0.0,1.7,1.2,0.2
